accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5718873826903025,45,30,21,4,19,5,pca,mx
0.5648885956885361,483,24,8,19,22,14,ica,std
0.5713030154710477,418,7,15,6,12,4,pca,std
0.5675112255538295,456,18,30,20,21,14,ica,rb
0.5745104381690112,220,26,15,29,20,2,ica,std
0.5660526483794769,11,10,18,27,4,5,ica,mx
0.5500053201676917,300,22,21,29,9,18,ica,pt
0.5704228469281352,408,26,11,27,17,17,pca,pt
0.5613870741205763,253,27,6,14,21,12,ica,norm
0.5698406077759571,494,10,5,46,12,8,pca,pt
0.5695507650401141,179,24,27,37,22,17,pca,std
0.5675125023940755,425,13,2,43,12,9,ica,norm
0.5680955927730842,406,22,22,39,20,5,pca,mx
0.5701372603264454,253,15,9,4,22,4,ica,std
0.5745070332616884,323,14,20,13,8,5,ica,pt
0.566926007107744,286,26,9,4,18,5,pca,rb
0.5724700474558959,19,21,21,4,18,16,ica,mx
0.5704266774488732,77,20,30,24,21,8,ica,mx
0.5657589751228959,25,9,20,47,6,14,pca,std
0.5637181587963653,397,29,26,16,16,3,pca,norm
0.5517605498925325,346,13,21,31,34,17,ica,rb
0.5616764912430039,482,24,3,26,25,7,pca,rb
0.5619697388861697,121,20,20,12,28,19,ica,std
0.626421229597157,203,20,18,14,2,11,ica,rb
0.6299159413504714,289,26,21,8,4,3,pca,pt
0.629629503521951,110,22,10,9,1,9,pca,pt
0.6214641101487518,300,21,6,4,5,20,ica,mx
0.6138771254069928,330,17,18,4,5,14,pca,pt
0.6100849098763594,198,27,14,16,7,3,pca,std
0.6039628865101827,346,17,22,2,7,11,pca,mx
0.5966751079994042,327,22,23,21,8,12,ica,mx
0.6036738950011704,159,25,12,28,1,15,ica,std
0.6094996914302738,185,14,20,15,6,19,ica,rb
0.5995888574407864,441,23,10,9,8,14,pca,pt
0.5984196973888617,278,23,20,25,9,11,ica,mx
0.6004634930092997,70,14,13,24,5,8,ica,rb
0.5928790619480326,119,25,22,25,9,2,pca,std
0.6022144665999873,31,22,9,17,4,12,ica,mx
0.5952139771445596,442,11,14,25,3,4,ica,std
0.595215679598221,78,13,4,30,8,11,ica,rb
0.5864642165521057,120,22,6,32,4,8,pca,std
0.5852976101806728,98,21,8,23,13,16,ica,std
0.5867570385818561,293,17,10,26,10,11,ica,norm
0.5917111787363538,294,27,2,28,10,9,ica,mx
0.581216403141027,112,27,24,37,6,20,ica,std
0.5850039369240918,444,10,30,28,3,11,pca,norm
0.5844272307463131,446,30,16,16,13,3,pca,mx
0.584423400225575,394,30,10,20,12,14,pca,pt
0.5908395224617481,138,17,25,4,14,12,ica,rb
0.583258921921219,198,10,7,9,11,9,pca,std
0.6299159413504714,289,26,21,8,4,3,pca,pt
0.629629503521951,110,22,10,9,1,9,pca,pt
0.6237930667574643,203,20,18,14,2,11,ica,rb
0.626708518652508,300,21,6,4,5,20,ica,mx
0.6138771254069928,330,17,18,4,5,14,pca,pt
0.6100849098763594,198,27,14,16,7,3,pca,std
0.6103773062926943,185,14,20,15,6,19,ica,rb
0.6039628865101827,346,17,22,2,7,11,pca,mx
0.6019216445702369,159,25,12,28,1,15,ica,std
0.6299159413504714,289,26,21,8,4,3,pca,pt
0.629629503521951,110,22,10,9,1,9,pca,pt
0.6325419761230875,300,21,6,4,5,20,ica,mx
0.6232108276052861,300,21,6,4,5,20,ica,mx
0.5263859036836841,454,3,22,25,1,8,ica,rb
0.5325177161584133,18,16,27,16,48,20,pca,norm
0.5622604328488434,164,17,11,6,26,18,ica,norm
0.55380349428614,184,6,20,42,27,5,ica,std
0.5447621885041816,284,22,7,10,40,16,ica,norm
0.5386410163648359,228,8,25,28,33,4,pca,norm
0.5584677917047945,201,6,18,30,1,14,ica,norm
0.5403868825945393,65,5,3,9,10,19,pca,rb
0.5520520950820369,182,10,12,28,40,7,pca,mx
0.5511778851269392,234,12,12,33,26,5,pca,norm
0.5269702709029389,139,13,8,46,24,5,ica,pt
0.5634287416739375,26,8,26,38,8,18,pca,rb
0.5374765380604796,10,4,22,4,7,15,ica,rb
0.6027979825924114,177,20,14,2,7,13,pca,mx
0.5406775765572132,17,19,23,15,35,20,pca,rb
0.562553680492009,211,15,14,43,20,18,ica,norm
0.5508863399374349,172,30,7,45,44,5,ica,mx
0.5520525206954523,115,28,24,22,35,20,ica,rb
0.513849460534996,208,6,7,36,36,17,ica,pt
0.5482603051648189,254,11,15,32,44,11,ica,norm
0.5683858611223427,122,30,24,2,22,7,ica,rb
0.5540950394756443,38,6,17,30,27,8,pca,mx
0.5949220063416398,17,21,24,17,1,14,ica,norm
0.5328037283735184,249,5,5,44,41,2,ica,norm
0.5433031857164138,133,26,2,5,32,14,ica,norm
0.595504245493818,389,21,14,14,10,8,pca,std
