accuracy,n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5931710327509523,208,0.09414141414141414,7,36,36,17,ica,pt
0.6188338192419826,254,0.18323232323232325,15,32,44,11,ica,norm
0.4802626034772616,122,0.5,24,2,22,7,ica,rb
0.6232086995382095,38,0.09909090909090909,17,30,27,8,pca,mx
0.6124185482326403,17,0.34161616161616165,24,17,1,14,ica,norm
0.6165048626332702,249,0.07929292929292929,5,44,41,2,ica,norm
0.5476738098784873,133,0.4257575757575758,2,5,32,14,ica,norm
0.5245685344002042,389,0.34161616161616165,14,14,10,8,pca,std
0.5943384903492157,467,0.21292929292929294,5,23,3,19,ica,pt
0.6144559596518482,322,0.2921212121212121,5,49,19,4,pca,pt
0.6156310782915877,309,0.4257575757575758,18,26,37,5,pca,pt
0.48463578131982726,375,0.2475757575757576,16,28,28,7,ica,rb
0.6232086995382095,38,0.09909090909090909,17,30,27,8,pca,mx
0.6103760294524483,254,0.18323232323232325,15,32,44,11,ica,norm
0.6150437317784256,249,0.07929292929292929,5,44,41,2,ica,norm
0.6156310782915877,309,0.4257575757575758,18,26,37,5,pca,pt
0.6054227405247813,211,0.2475757575757576,14,43,20,18,ica,norm
0.6232086995382095,38,0.09909090909090909,17,30,27,8,pca,mx
0.5908467578898087,467,0.3762626262626263,3,48,7,16,pca,std
0.5593586005830904,475,0.25252525252525254,22,44,11,15,ica,std
0.4752944180800579,235,0.32181818181818184,16,32,23,14,ica,norm
0.6170875273988636,313,0.22282828282828285,18,49,44,9,ica,norm
0.6135902619650571,141,0.2475757575757576,24,48,36,13,pca,norm
0.6173765189078759,317,0.2624242424242424,10,33,5,20,ica,std
0.6202932476431657,482,0.059494949494949496,14,42,21,16,pca,mx
0.6138784022472388,221,0.17333333333333334,14,4,26,2,ica,rb
0.6202932476431657,482,0.059494949494949496,14,42,21,16,pca,mx
0.6092081462407695,317,0.2624242424242424,10,33,5,20,ica,std
0.6208776148624204,329,0.20303030303030303,21,43,46,2,pca,norm
0.6255427635079058,423,0.10898989898989898,20,20,23,8,ica,norm
0.5415717903428316,423,0.33171717171717174,23,27,45,18,pca,mx
0.6272941627120087,489,0.11888888888888888,21,47,12,13,pca,rb
0.6162133174437658,419,0.207979797979798,8,46,21,12,pca,norm
